Domain,Name of Exam,University,Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
GOVERNMENT-EXAMS,SSC CGL 2017,Staff Selection Commission Combined Graduate Level ,Online Test,16 May 17 - 15 Jun 17,10 Nov 17 - 01 Aug 17,,
GOVERNMENT-EXAMS,IBPS Clerk 2017,Institute of Banking Personnel Selection Clerk ,Online Test,12 Sep 17 - 03 Oct 17,,,
GOVERNMENT-EXAMS,IES 2018,Indian Engineering Services ,Written Test,27 Sep 17 - 23 Oct 17,07 Jan 18 - 01 Jul 18,20-Aug-17,
GOVERNMENT-EXAMS,SSC JE 2017,Staff Selection Commission Junior Engineers ,Online Test  Written Test,20 Dec 17 - 01 Oct 16,05 Jan 18 - 08 Jan 18,05-Jun-18,
GOVERNMENT-EXAMS,CTET 2017,Central Teacher Eligibility Test ,Written Test,02 Dec 17 - 27 Dec 17,11-Feb-18,04-Apr-18,http://exams.collegedunia.com/ctet/application-process
GOVERNMENT-EXAMS,SSC CHSL 2017,Staff Selection Commission Combined Higher Secondary Level ,Online Test  Written Test,18 Nov 17 - 18 Dec 17,15 Aug 17 - 10 May 18,,
GOVERNMENT-EXAMS,RBI Assistant Recruitment 2017,Reserve Bank of India Assistant Recruitment ,Written Test,18 Oct 17 - 18 Oct 17,27 Nov 17 - 20 Dec 17,18-Apr-18,
GOVERNMENT-EXAMS,IAS Exam 2017,Indian Administrative Service Exam ,Written Test,22 Feb 17 - 17 Mar 17,18-Jun-17,02-Aug-17,https://exams.collegedunia.com/ias-exam/application-process
GOVERNMENT-EXAMS,IPPB Recruitment 2017,India Post Payments Bank Recruitment ,Written Test,07 Oct 16 - 01 Nov 16,,,
GOVERNMENT-EXAMS,UPSC Exam 2017,Union Public Service Commission ,Written Test,,,,
GOVERNMENT-EXAMS,IOCL Recruitment 2017,Indian Oil Corporation Limited ,Written Test,,,,
GOVERNMENT-EXAMS,BEL Recruitment 2017,Bharat Electronics Limited ,Written Test,,,,
GOVERNMENT-EXAMS,RRB Recruitment 2017,Railway Recruitment Board ,Online Test,,,,
GOVERNMENT-EXAMS,BTET 2018,Bihar TET ,Test,,,,
GOVERNMENT-EXAMS,HPTET 2018,Himachal Pradesh Teacher Eligibility Test ,Test,12-Oct-18,,,
GOVERNMENT-EXAMS,IBPS SO 2017,IBPS Specialist Officer ,Online Test,,,,
GOVERNMENT-EXAMS,IBPS PO 2017,Institute of Banking Personnel Selection Probationary Officer Exam ,Online Test,16 Oct 16 - 23 Oct 16,06-Nov-16,,
GOVERNMENT-EXAMS,SSC Stenographer 2017,Staff Selection Commission Stenographer ,Written Test,11 Sep 17 - 14 Sep 17,12-Nov-16,,
MEDICAL,KEAM 2018,Kerala Engineering Agricultural Medical Entrance Examination ,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26-May-18,
MEDICAL,IPU CET 2018,Guru Gobind Singh Indraprastha University Common Entrance Test ,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03-May-18,https://exams.collegedunia.com/ipucet/application-process
MEDICAL,NEET 2018,National Eligibility Cum Entrance Test(NEET)/AIPMT ,Written Test,22 Jan 18 - 20 Mar 18,10-May-18,08-Jun-18,https://exams.collegedunia.com/neet/application-process
MEDICAL,AIIMS MBBS 2018,AIIMS Medical Entrance Exam ,Online Test,24 Jan 18 - 23 Feb 18,27-May-18,12-Jun-18,https://exams.collegedunia.com/aiims-mbbs/application-process
MEDICAL,AP EAMCET 2018,Andhra Pradesh Engineering  Agriculture and Medical Common Entrance Test ,Online Test,05 Feb 18 - 10 Apr 18,28-Apr-18,24-May-18,https://exams.collegedunia.com/ap-eamcet/application-process
MEDICAL,UPSEE 2018,Uttar Pradesh State Entrance Exam ,Online Test  Written Test,21 Feb 18 - 10 Apr 18,22-Apr-18,12-May-18,
MEDICAL,JIPMER PG 2017,Jawaharlal Institute of Postgraduate Medical Education and Research Post Graduate ,Online Test,28 Feb 18 - 24 Apr 18,13-May-18,,
MEDICAL,TS EAMCET 2018,Telangana State Engineering  Agriculture & Medical Common Entrance Test ,Written Test,15 Mar 18 - 20 Apr 18,12 May 18 - 13 May 18,28-May-18,
MEDICAL,PGIMER 2018,Post Graduate Institute of Medical Education & Research 2018 ,Written Test,17 Mar 18 - 13 May 18,14-May-18,16-May-18,
MEDICAL,JCECE 2018,Jharkhand Combined Entrance Competitive Examination ,Written Test,03 Apr 18 - 30 Apr 18,14-May-18,29-May-18,https://exams.collegedunia.com/jcece/application-process
MEDICAL,OJEE 2017,Odisha Joint Entrance Examination ,Online Test,16 Apr 18 - 03 Feb 18,13-May-18,07-Jun-18,https://exams.collegedunia.com/ojee/application-process
MEDICAL,GCET 2018,Goa Common Entrance Test ,Written Test,19 Apr 18 - 10 Mar 18,13-May-18,30-May-18,
MEDICAL,AIIMS PG 2018,All India Institute Of Medical Sciences - Post Graduate ,Written Test,20 Apr 18 - 02 Mar 18,06-May-18,15-May-18,https://exams.collegedunia.com/aiims-pg/application-process
MEDICAL,NIPER JEE 2018,National Institute of Pharmaceutical Education and Research Joint Entrance Exam ,Online Test,27 Apr 18 - 10 May 18,10-Jun-18,,
MEDICAL,KLEU AIET 2018,KLE University All India Entrance Test ,Written Test,10 May 18 - 07 Jun 18,16-Jun-18,27-Jun-18,
MEDICAL,PU CET 2018,Punjab University Combined Entrance Test ,Online Test,25 May 18 - 04 Jul 17,03-Jun-18,16-Jun-18,
MEDICAL,DSAT 2018,Dayanand Sagar Admission Test 2018 ,Written Test,30-Apr-18,15-May-18,,
MEDICAL,JIPMER 2018,Jawaharlal Institute of Post-graduate Medical Education and Research ,Online Test,03-Jun-18,,,
MEDICAL,CETPPMC 2017,Common Entrance Test for Pondicherry Private Medical/Dental Colleges ,Written Test,25 Apr 17 - 22 May 17,27-May-17,02-Jun-17,
MEDICAL,IIITH PGEE 2017,International Institute of Information Technology  Hyderabad Post Graduate Entrance Examination ,Written Test,22 Apr 17 - 02 Feb 17,30-Apr-17,19-May-17,https://exams.collegedunia.com/iiith-pgee/admit-card
MEDICAL,Karnataka PGCET 2017,Karnataka Post Graduate Common Entrance Test ,Online Test,24 Jun 17 - 02 Feb 17,08-Jul-17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
MEDICAL,NEET PG 2018,National Eligibility Cum Entrance Examination Post Graduate ,Online Test,16 Sep 17 - 31 Oct 17,07-Jan-18,31-Jan-18,
MEDICAL,DNB CET 2017,Diplomat of National Board Centralized Entrance Test ,Online Test,30 Sep 17 - 15 Nov 17,26-Nov-17,10-Jan-18,https://exams.collegedunia.com/dnb-cet/admit-card
MEDICAL,CMC VELLORE 2017,CMC Vellore MBBS Entrance Exam ,Written Test,16 Apr 17 - 12 Feb 17,20-May-17,10-Jul-17,
MEDICAL,AIPGMEE 2017,All India Post Graduate Medical Entrance Examination ,Online Test,16 Sep 16 - 22 Oct 16,05 Dec 16 - 13 Dec 16,10-Feb-17,
MEDICAL,AIIMS MSc 2018,AIIMS M.Sc. Entrance Examination ,Online Test,,,,
MEDICAL,AIAPGET 2017,ALL INDIA AYUSH POST GRADUATE ENTRANCE TEST ,Online Test,,,,
MEDICAL,AIPMT 2016,All India Pre Medical Test ,Written Test,15 Dec 15 - 13 Jan 16,01-May-16,19 May 16 - 05 Jun 16,https://exams.collegedunia.com/aipmt/application-process
MEDICAL,GUJCET 2018,Gujarat Common Entrance Test ,Written Test,29-May-17,29-May-18,,
ARCHITECTURE,KEAM 2018,Kerala Engineering Agricultural Medical Entrance Examination ,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26-May-18,
ARCHITECTURE,KCET 2018,Karnataka Common Entrance Test ,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25-May-18,https://exams.collegedunia.com/kcet/application-process
ARCHITECTURE,BSAUEEE 2018,B.S. Abdur Rahman University Engineering Entrance Exam ,Online Test,27 Jan 18 - 15 Apr 18,29 Apr 18 - 29 Apr 18,20-May-18,
ARCHITECTURE,TANCET 2018,Tamil Nadu Common Entrance Test ,Written Test,28 Jan 18 - 15 Mar 18,25-Mar-18,07-Apr-18,https://exams.collegedunia.com/tancet/admit-card
ARCHITECTURE,COMEDK UGET 2018,Consortium of Medical  Engineering & Dental Colleges of Karnataka  Under Graduate Entrance Test ,Online Test,12 Feb 18 - 06 Apr 18,13-May-18,28-May-18,
ARCHITECTURE,UPSEE 2018,Uttar Pradesh State Entrance Exam ,Online Test  Written Test,21 Feb 18 - 10 Apr 18,22-Apr-18,12-May-18,
ARCHITECTURE,MHT CET 2018,Maharashtra Health Sciences and Technical Common Entrance Test ,Written Test,06 Mar 18 - 30 Mar 18,13-May-18,08-Jun-18,https://exams.collegedunia.com/mht-cet/application-process
ARCHITECTURE,JEE Main 2018,Joint Entrance Exam (Main) ,Online Test  Written Test,07 Mar 18 - 01 Dec 17,08 Apr 18 - 08 Apr 18,,
ARCHITECTURE,TS EAMCET 2018,Telangana State Engineering  Agriculture & Medical Common Entrance Test ,Written Test,15 Mar 18 - 20 Apr 18,12 May 18 - 13 May 18,28-May-18,
ARCHITECTURE,BVP CET 2018,Bharati Vidyapeeth Common Entrance Test ,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09-Apr-18,https://exams.collegedunia.com/bvp-cet/application-process
ARCHITECTURE,TS PGECET 2017,Telangana State Post Graduate Engineering Common Entrance Test ,Online Test,20 Mar 18 - 01 May 18,27-May-18,09-Jun-18,
ARCHITECTURE,CMRUAT 2018,CMR University Admission Test 2018 ,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
ARCHITECTURE,NATA 2017,National Aptitude test in Architecture ,Written Test,26 Mar 18 - 02 Jan 18,14-Apr-18,12-Jun-18,https://exams.collegedunia.com/nata/application-process
ARCHITECTURE,AMUEEE 2018,Aligarh Muslim University Engineering Entrance Exam 2018 ,Online Test,28 Mar 18 - 05 Jan 18,08-Apr-18,03-May-18,
ARCHITECTURE,TNEA 2017,Tamil Nadu Engineering Admissions ,Written Test,15 Apr 18 - 28 May 18,22-Jun-18,,
ARCHITECTURE,OJEE 2017,Odisha Joint Entrance Examination ,Online Test,16 Apr 18 - 03 Feb 18,13-May-18,07-Jun-18,https://exams.collegedunia.com/ojee/application-process
ARCHITECTURE,GCET 2018,Goa Common Entrance Test ,Written Test,19 Apr 18 - 10 Mar 18,13-May-18,30-May-18,
ARCHITECTURE,HITSEEE 2018,Hindustan Institute of Technology and Science Engineering Entrance Examination ,Online Test,25 Apr 18 - 10 Dec 17,29 Apr 18 - 03 May 18,10-May-18,
ARCHITECTURE,JEE Advanced 2018,Joint Entrance Examination (Advanced) ,Written Test,28 Apr 18 - 02 May 18,20-May-18,11 Jun 18 - 04 Jun 18,https://exams.collegedunia.com/jee-advanced/application-process
ARCHITECTURE,TANATA 2018,Tamil Nadu Aptitude Test in Architecture 2018 ,Online Test,06 Aug 18 - 02 Jul 18,12-Aug-18,27-Aug-18,
ARCHITECTURE,JUEE 2018,Jagannath University Entrance Exam ,Online Test  Written Test,23 Apr 18 - 17 Jun 18,,,
ARCHITECTURE,PESSAT 2018,PES Scholastic Aptitude Test ,Online Test  Written Test,26-May-18,29-May-18,,
ARCHITECTURE,GITAM GAT UGTP 2018,GITAM GAT UGTP ,Online Test,,,,
ARCHITECTURE,Karnataka PGCET 2017,Karnataka Post Graduate Common Entrance Test ,Online Test,24 Jun 17 - 02 Feb 17,08-Jul-17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
ARCHITECTURE,WBJEE 2018,West Bengal Joint Entrance Examination ,Online Test,19 Dec 17 - 10 Apr 18,22-Apr-18,05-Jun-18,https://exams.collegedunia.com/wbjee/admit-card
ARCHITECTURE,KIITEE 2017,Kalinga Institute of Industrial Technology Entrance Exam ,Online Test,,,,
ARCHITECTURE,RTU CAM 2018,Rajasthan Technical University Centralized Admission for M.Tech/M.Arch. ,Online Test,,,,
ARCHITECTURE,IUET 2018,Integral University Entrance Test ,Written Test,,,,
ARTS,IPU CET 2018,Guru Gobind Singh Indraprastha University Common Entrance Test ,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03-May-18,https://exams.collegedunia.com/ipucet/application-process
ARTS,UPSEE 2018,Uttar Pradesh State Entrance Exam ,Online Test  Written Test,21 Feb 18 - 10 Apr 18,22-Apr-18,12-May-18,
ARTS,YVUCET 2018,Yogi Vemana University Common Entrance Test ,Written Test,01 Mar 18 - 19 May 18,04-Jun-18,11-Jun-18,
ARTS,TUEE 2018,Tezpur University Entrance Exam 2018 ,Written Test,12 Mar 18 - 05 May 18,22-Apr-18,11-Jun-18,
ARTS,CUCET 2018,Central Universities Common Entrance Test ,Written Test,17 Mar 18 - 20 Apr 18,20-May-18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
ARTS,CMRUAT 2018,CMR University Admission Test 2018 ,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
ARTS,DUCET 2018,Dravidian University Common Entrance Test 2018 ,Written Test,03 Apr 18 - 15 May 18,05-Jun-18,18-Jun-18,
ARTS,TISS BAT 2018,Tata Institute of Social Sciences Bachelor Admission Test 2018 ,Online Test  Written Test,09 Apr 18 - 05 Feb 18,22-Apr-18,22-May-18,
ARTS,SET 2017,Symbiosis Entrance Test ,Online Test,27 Apr 18 - 05 Feb 18,06-May-18,20-May-18,
ARTS,DU JAT 2018,Delhi University Joint Admission Test ,Written Test,10 Jun 18 - 02 May 18,24-Jun-18,09-Jul-18,https://exams.collegedunia.com/du-jat/application-process
ARTS,Jain Entrance Test 2018,Jain Entrance Test ,Test,20-Jan-18,,,
ARTS,DSAT 2018,Dayanand Sagar Admission Test 2018 ,Written Test,30-Apr-18,15-May-18,,
ARTS,VEE 2018,Vels Entrance Examination 2018 ,Written Test,03-May-18,,,
ARTS,JNUEE 2018,Jawaharlal Nehru University Entrance Examination ,Written Test,14-May-18,18-Jun-18,,
ARTS,BHU UET 2018,Banaras Hindu University Undergraduate Entrance Test ,Written Test,,,,
ARTS,IIAD Entrance Exam 2018,Indian Institute of Art and Design Entrance Exam ,Written Test,,,,
ARTS,PUCAT 2018,Purvanchal University Combined Admission Test ,Written Test,,,,
ARTS,MGU CAT 2018,Mahatma Gandhi University - Common Admission Test ,Written Test,16 Mar 17 - 06 May 17,28 May 17 - 29 May 17,08-Jun-17,
ARTS,CAT 2017,Common Admission Test ,Online Test,09 Aug 17 - 20 Sep 17,26-Nov-17,08-Jan-18,https://exams.collegedunia.com/cat/application-process
ARTS,JUET 2018,Jammu University Entrance Test ,Written Test,,,,
ARTS,ANUPGCET 2018,ACHARYA NAGARJUNA UNIVERSITY POST GRADUATE COMMON ENTRANCE TEST ,Online Test,,,,
ARTS,CUSAT CAT 2018,Cochin University of Science and Technology Common Admission test ,Online Test,,,,
ARTS,IUET 2018,Integral University Entrance Test ,Written Test,,,,
ARTS,MAT 2017,Management Aptitude Test ,Online Test  Written Test,20 Dec 17 - 26 Jan 18,04-Feb-18,22-Feb-18,https://exams.collegedunia.com/mat/application-process
ARTS,OUCET 2018,Osmania University Common Entrance Test ,Written Test,,,,
ARTS,XAT 2018,Xavier Aptitude Test ,Online Test,16 Aug 17 - 30 Nov 17,07-Jan-18,28-Jan-18,https://exams.collegedunia.com/xat/application-process
ARTS,TISSNET 2018,Tata Institute of Social Sciences National Entrance Test ,Online Test,24 Oct 17 - 18 Dec 17,06-Jan-18,27-Jan-18,https://exams.collegedunia.com/tissnet/admit-card
EDUCATION,IPU CET 2018,Guru Gobind Singh Indraprastha University Common Entrance Test ,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03-May-18,https://exams.collegedunia.com/ipucet/application-process
EDUCATION,YVUCET 2018,Yogi Vemana University Common Entrance Test ,Written Test,01 Mar 18 - 19 May 18,04-Jun-18,11-Jun-18,
EDUCATION,AKNUCET 2018,Adikavi Nannaya University Common Entrance Test ,Written Test,12 Mar 18 - 12 Apr 18,07-May-18,,
EDUCATION,CUCET 2018,Central Universities Common Entrance Test ,Written Test,17 Mar 18 - 20 Apr 18,20-May-18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
EDUCATION,HPU BEd 2018,Himachal Pradesh University BEd ,Online Test,09 Apr 18 - 21 May 18,08-Jun-18,24-Jun-18,
EDUCATION,AP DEECET 2018,Andhra Pradesh Diploma in Elementary Education Common Entrance Test 2018 ,Online Test,23 Apr 18 - 06 Apr 18,06-May-18,25-May-18,
EDUCATION,KU PGCET 2018,KU Post Graduate Common Entrance Test 2018 ,Written Test,04-Jun-18,,,
EDUCATION,DU BEd Entrance Exam 2017,DELHI UNIVERSITY B.Ed ENTRANCE EXAM ,Written Test,,,,
EDUCATION,MAH BEd CET 2017,Maharashtra BED Common Entrance Test ,Test,,,,
EDUCATION,UP Bed JEE 2018,Uttar Pradesh B.Ed Joint Entrance Examination ,Online Test,,,,
EDUCATION,AP EDCET 2018,Andhra Pradesh Education Common Entrance Test ,Online Test,,,,
EDUCATION,CSSET 2018,Combined Shiksha Shastri Entrance Test ,Written Test,18 Apr 17 - 16 Jan 17,14-May-17,,
EDUCATION,MGU CAT 2018,Mahatma Gandhi University - Common Admission Test ,Written Test,16 Mar 17 - 06 May 17,28 May 17 - 29 May 17,08-Jun-17,
EDUCATION,BHU UET 2018,Banaras Hindu University Undergraduate Entrance Test ,Written Test,,,,
EDUCATION,IGNOU BEd Entrance Test 2017,IGNOU Bachelor Of Education Entrance Test ,Written Test,,,,
EDUCATION,BEET 2018,Bachelor of Education Entrance Test 2018 ,Written Test,,,,
EDUCATION,VMOU BEd Entrance Exam 2018,Vardhman Mahaveer Open University B.Ed Entrance Exam ,Written Test,,,,
EDUCATION,CG Pre BEd 2018,Chhattisgarh Pre-BEd ,Written Test,,,,
EDUCATION,OUCET 2018,Osmania University Common Entrance Test ,Written Test,,,,
EDUCATION,MP Pre BEd 2017,MP Pre B.Ed Entrance Exam ,Written Test,,,,
EDUCATION,TS EDCET 2017,Telangana State Education Common Entrance Test ,Online Test  Written Test,16-Jul-17,28-Jul-17,,
COMMERCE,IPU CET 2018,Guru Gobind Singh Indraprastha University Common Entrance Test ,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03-May-18,https://exams.collegedunia.com/ipucet/application-process
COMMERCE,NPAT 2018,National Test for Programs After Twelfth ,Online Test,05 Feb 18 - 02 May 18,13-May-18,10-Jun-18,
COMMERCE,YVUCET 2018,Yogi Vemana University Common Entrance Test ,Written Test,01 Mar 18 - 19 May 18,04-Jun-18,11-Jun-18,
COMMERCE,AKNUCET 2018,Adikavi Nannaya University Common Entrance Test ,Written Test,12 Mar 18 - 12 Apr 18,07-May-18,,
COMMERCE,CMRUAT 2018,CMR University Admission Test 2018 ,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
COMMERCE,DUCET 2018,Dravidian University Common Entrance Test 2018 ,Written Test,03 Apr 18 - 15 May 18,05-Jun-18,18-Jun-18,
COMMERCE,SPSAT 2018,Sri Padampat Singhania Admission Test ,Online Test,20 Apr 18 - 10 Jun 18,,,
COMMERCE,Jain Entrance Test 2018,Jain Entrance Test ,Test,20-Jan-18,,,
COMMERCE,JUEE 2018,Jagannath University Entrance Exam ,Online Test  Written Test,23 Apr 18 - 17 Jun 18,,,
COMMERCE,DSAT 2018,Dayanand Sagar Admission Test 2018 ,Written Test,30-Apr-18,15-May-18,,
COMMERCE,KU PGCET 2018,KU Post Graduate Common Entrance Test 2018 ,Written Test,04-Jun-18,,,
COMMERCE,Allahabad University PGAT 2018,Allahabad University Post Graduate Admission Test ,Online Test,,,,
COMMERCE,XAT 2018,Xavier Aptitude Test ,Online Test,16 Aug 17 - 30 Nov 17,07-Jan-18,28-Jan-18,https://exams.collegedunia.com/xat/application-process
COMMERCE,BHU UET 2018,Banaras Hindu University Undergraduate Entrance Test ,Written Test,,,,
COMMERCE,CAT 2017,Common Admission Test ,Online Test,09 Aug 17 - 20 Sep 17,26-Nov-17,08-Jan-18,https://exams.collegedunia.com/cat/application-process
COMMERCE,JUET 2018,Jammu University Entrance Test ,Written Test,,,,
COMMERCE,OUCET 2018,Osmania University Common Entrance Test ,Written Test,,,,
COMMERCE,SUAT 2017,Sharda University Admission Test ,Online Test,,,,
COMMERCE,BHU PET 2018,Banaras Hindu University Postgraduate Entrance Test ,Written Test,,,,
COMMERCE,MAT 2017,Management Aptitude Test ,Online Test  Written Test,20 Dec 17 - 26 Jan 18,04-Feb-18,22-Feb-18,https://exams.collegedunia.com/mat/application-process
COMMERCE,CUSAT CAT 2018,Cochin University of Science and Technology Common Admission test ,Online Test,,,,
AGRICULTURE,KEAM 2018,Kerala Engineering Agricultural Medical Entrance Examination ,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26-May-18,
AGRICULTURE,KCET 2018,Karnataka Common Entrance Test ,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25-May-18,https://exams.collegedunia.com/kcet/application-process
AGRICULTURE,AP EAMCET 2018,Andhra Pradesh Engineering  Agriculture and Medical Common Entrance Test ,Online Test,05 Feb 18 - 10 Apr 18,28-Apr-18,24-May-18,https://exams.collegedunia.com/ap-eamcet/application-process
AGRICULTURE,CUEE 2018,Centurion University Entrance Examination ,Online Test,23 Feb 18 - 27 Mar 18,22-Apr-18,13-May-18,
AGRICULTURE,CG PAT 2018,Chhattisgarh Pre-Agriculture Test ,Written Test,12 Mar 18 - 12 Apr 18,27-May-18,07-Jul-18,
AGRICULTURE,Tripura JEE 2018,Tripura Joint Entrance Examination ,Written Test,27 Mar 18 - 02 Jan 18,03 May 18 - 04 May 18,04-Jun-18,
AGRICULTURE,JCECE 2018,Jharkhand Combined Entrance Competitive Examination ,Written Test,03 Apr 18 - 30 Apr 18,14-May-18,29-May-18,https://exams.collegedunia.com/jcece/application-process
AGRICULTURE,CAT 2017,Common Admission Test ,Online Test,09 Aug 17 - 20 Sep 17,26-Nov-17,08-Jan-18,https://exams.collegedunia.com/cat/application-process
AGRICULTURE,XAT 2018,Xavier Aptitude Test ,Online Test,16 Aug 17 - 30 Nov 17,07-Jan-18,28-Jan-18,https://exams.collegedunia.com/xat/application-process
AGRICULTURE,MCAER PG CET 2018,Maharashtra Council of Agriculture Education and Research Common Entrance Test 2018 ,Written Test,04 Dec 17 - 28 Dec 17,25-Mar-18,09-Apr-18,
AGRICULTURE,Karnataka PGCET 2017,Karnataka Post Graduate Common Entrance Test ,Online Test,24 Jun 17 - 02 Feb 17,08-Jul-17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
AGRICULTURE,OUAT 2018,Orissa University of Agriculture and Technology ,Written Test,,,,
AGRICULTURE,UPCATET 2018,Uttar Pradesh Combined Agriculture and Technology Entrance Test ,Online Test,,,,
AGRICULTURE,HORTICET 2017,Horticulture Common Entrance Test ,Written Test,,,,
AGRICULTURE,Rajasthan JET 2018,Rajasthan JET ,Online Test,,,,
AGRICULTURE,BHU UET 2018,Banaras Hindu University Undergraduate Entrance Test ,Written Test,,,,
DESIGN,GLS Institute of Design DAT 2018,GLS Institute of Design Aptitude Test ,Written Test,24 Dec 17 - 23 Jan 18,23-Apr-18,,
DESIGN,UBTER JEEP 2018,Uttarakhand Board Of Technical Education-Joint Entrance Exam  Polytechnic ,Written Test,10 Jan 18 - 26 Mar 18,06-May-18,27-May-18,
DESIGN,IICD 2018,Indian Institute of Crafts and Design 2018 ,Written Test,22 Jan 18 - 21 May 18,27-May-18,04-Jun-18,
DESIGN,NPAT 2018,National Test for Programs After Twelfth ,Online Test,05 Feb 18 - 02 May 18,13-May-18,10-Jun-18,
DESIGN,UPES DAT 2018,University of Petroleum and Energy Studies Design Aptitude Test ,Online Test  Written Test,16 Feb 18 - 09 Jan 18,15 Feb 18 - 12 Apr 18,20-Mar-18,https://exams.collegedunia.com/upes-dat/admit-card
DESIGN,UPSEE 2018,Uttar Pradesh State Entrance Exam ,Online Test  Written Test,21 Feb 18 - 10 Apr 18,22-Apr-18,12-May-18,
DESIGN,SET 2017,Symbiosis Entrance Test ,Online Test,27 Apr 18 - 05 Feb 18,06-May-18,20-May-18,
DESIGN,NIFT 2018,National Institute of Fashion Technology Entrance Test ,Online Test,20 Oct 17 - 09 Jan 18,21-Jan-18,01-Feb-18,
DESIGN,NID 2018,National Institute of Design Entrance Exam ,Written Test,20 Oct 17 - 20 Dec 17,31 Aug 18 - 07 Jan 18,18 Jan 18 - 02 May 18,https://exams.collegedunia.com/nid/admit-card
DESIGN,AIEED 2018,All India Entrance Examination for Design ,Online Test  Written Test,14 Dec 17 - 12 Nov 17,02-Jan-18,,https://exams.collegedunia.com/aieed/application-process
DESIGN,CEED 2017,Common Entrance Examination for Design ,Online Test  Written Test,09 Oct 17 - 10 Nov 17,20-Jan-18,05-Mar-18,
DESIGN,KIITEE 2017,Kalinga Institute of Industrial Technology Entrance Exam ,Online Test,,,,
DESIGN,UCEED 2018,Undergraduate Common Entrance Examination for Design ,Online Test,,,,
DESIGN,CEPT Entrance Exam 2018,Center for Environmental Planning and Technology Entrance Exam ,Online Test,,,,
DESIGN,SOFT CET 2018,School of Fashion Technology Common Entrance Test ,Online Test  Written Test,,,,
DESIGN,SUAT 2017,Sharda University Admission Test ,Online Test,,,,
DENTAL,KEAM 2018,Kerala Engineering Agricultural Medical Entrance Examination ,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26-May-18,
DENTAL,NEET 2018,National Eligibility Cum Entrance Test(NEET)/AIPMT ,Written Test,22 Jan 18 - 20 Mar 18,10-May-18,08-Jun-18,https://exams.collegedunia.com/neet/application-process
DENTAL,AP EAMCET 2018,Andhra Pradesh Engineering  Agriculture and Medical Common Entrance Test ,Online Test,05 Feb 18 - 10 Apr 18,28-Apr-18,24-May-18,https://exams.collegedunia.com/ap-eamcet/application-process
DENTAL,PGIMER 2018,Post Graduate Institute of Medical Education & Research 2018 ,Written Test,17 Mar 18 - 13 May 18,14-May-18,16-May-18,
DENTAL,GCET 2018,Goa Common Entrance Test ,Written Test,19 Apr 18 - 10 Mar 18,13-May-18,30-May-18,
DENTAL,JIPMER 2018,Jawaharlal Institute of Post-graduate Medical Education and Research ,Online Test,03-Jun-18,,,
DENTAL,CETPPMC 2017,Common Entrance Test for Pondicherry Private Medical/Dental Colleges ,Written Test,25 Apr 17 - 22 May 17,27-May-17,02-Jun-17,
DENTAL,AIPGDEE 2018,All India PG Dental Entrance Exam ,Online Test,16 Sep 17 - 31 Oct 17,07-Jan-18,31-Jan-18,
DENTAL,NEET MDS 2018,National Eligibility Cum Entrance Test for Masters of Dental Surgery ,Online Test,31 Oct 17 - 27 Nov 17,07-Jan-18,31-Jan-18,
DENTAL,AIPGMEE 2017,All India Post Graduate Medical Entrance Examination ,Online Test,16 Sep 16 - 22 Oct 16,05 Dec 16 - 13 Dec 16,10-Feb-17,
DENTAL,AIPMT 2016,All India Pre Medical Test ,Written Test,15 Dec 15 - 13 Jan 16,01-May-16,19 May 16 - 05 Jun 16,https://exams.collegedunia.com/aipmt/application-process
DENTAL,MPDMAT 2016,Madhya Pradesh Dental/Medical Association Test ,Written Test,15-May-16,,,
DENTAL,GUJCET 2018,Gujarat Common Entrance Test ,Written Test,29-May-17,29-May-18,,
VETERINARY-SCIENCES,AIPVT 2018,All India Pre VeterinaryTest ,Written Test,08 Jan 18 - 07 Feb 18,14-May-18,20-Jun-18,
