ENGINEERING
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
TANCET 2018 Tamil Nadu Common Entrance Test,Written Test,28 Jan 18 - 15 Mar 18,25 Mar 18,07 Apr 18,https://exams.collegedunia.com/tancet/admit-card
COMEDK UGET 2018 Consortium of Medical, Engineering & Dental Colleges of Karnataka, Under Graduate Entrance Test,Online Test,12 Feb 18 - 06 Apr 18,13 May 18,28 May 18,
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
MHT CET 2018 Maharashtra Health Sciences and Technical Common Entrance Test,Written Test,06 Mar 18 - 30 Mar 18,13 May 18,08 Jun 18,https://exams.collegedunia.com/mht-cet/application-process
JEE Main 2018 Joint Entrance Exam (Main),Online Test , Written Test,07 Mar 18 - 01 Dec 17,08 Apr 18 - 08 Apr 18,,
TS EAMCET 2018 Telangana State Engineering, Agriculture & Medical Common Entrance Test,Written Test,15 Mar 18 - 20 Apr 18,12 May 18 - 13 May 18,28 May 18,
BVP CET 2018 Bharati Vidyapeeth Common Entrance Test,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09 Apr 18,https://exams.collegedunia.com/bvp-cet/application-process
TS PGECET 2017 Telangana State Post Graduate Engineering Common Entrance Test,Online Test,20 Mar 18 - 01 May 18,27 May 18,09 Jun 18,
CMRUAT 2018 CMR University Admission Test 2018,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
NATA 2017 National Aptitude test in Architecture,Written Test,26 Mar 18 - 02 Jan 18,14 Apr 18,12 Jun 18,https://exams.collegedunia.com/nata/application-process
AMUEEE 2018 Aligarh Muslim University Engineering Entrance Exam 2018,Online Test,28 Mar 18 - 05 Jan 18,08 Apr 18,03 May 18,
TNEA 2017 Tamil Nadu Engineering Admissions,Written Test,15 Apr 18 - 28 May 18,22 Jun 18,,
OJEE 2017 Odisha Joint Entrance Examination,Online Test,16 Apr 18 - 03 Feb 18,13 May 18,07 Jun 18,https://exams.collegedunia.com/ojee/application-process
GCET 2018 Goa Common Entrance Test,Written Test,19 Apr 18 - 10 Mar 18,13 May 18,30 May 18,
HITSEEE 2018 Hindustan Institute of Technology and Science Engineering Entrance Examination,Online Test,25 Apr 18 - 10 Dec 17,29 Apr 18 - 03 May 18,10 May 18,
JEE Advanced 2018 Joint Entrance Examination (Advanced),Written Test,28 Apr 18 - 02 May 18,20 May 18,11 Jun 18 - 04 Jun 18,https://exams.collegedunia.com/jee-advanced/application-process
TANATA 2018 Tamil Nadu Aptitude Test in Architecture 2018,Online Test,06 Aug 18 - 02 Jul 18,12 Aug 18,27 Aug 18,
JUEE 2018 Jagannath University Entrance Exam,Online Test , Written Test,23 Apr 18 - 17 Jun 18,,,
PESSAT 2018 PES Scholastic Aptitude Test,Online Test , Written Test,26 May 18,29 May 18,,
GITAM GAT UGTP 2018 GITAM GAT UGTP,Online Test,,,,
Karnataka PGCET 2017 Karnataka Post Graduate Common Entrance Test,Online Test,24 Jun 17 - 02 Feb 17,08 Jul 17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
WBJEE 2018 West Bengal Joint Entrance Examination,Online Test,19 Dec 17 - 10 Apr 18,22 Apr 18,05 Jun 18,https://exams.collegedunia.com/wbjee/admit-card
KIITEE 2017 Kalinga Institute of Industrial Technology Entrance Exam,Online Test,,,,
RTU CAM 2018 Rajasthan Technical University Centralized Admission for M.Tech/M.Arch.,Online Test,,,,
IUET 2018 Integral University Entrance Test,Written Test,,,,


ARTS
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
YVUCET 2018 Yogi Vemana University Common Entrance Test,Written Test,01 Mar 18 - 19 May 18,04 Jun 18,11 Jun 18,
TUEE 2018 Tezpur University Entrance Exam 2018,Written Test,12 Mar 18 - 05 May 18,22 Apr 18,11 Jun 18,
CUCET 2018 Central Universities Common Entrance Test,Written Test,17 Mar 18 - 20 Apr 18,20 May 18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
CMRUAT 2018 CMR University Admission Test 2018,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
DUCET 2018 Dravidian University Common Entrance Test 2018,Written Test,03 Apr 18 - 15 May 18,05 Jun 18,18 Jun 18,
TISS BAT 2018 Tata Institute of Social Sciences Bachelor Admission Test 2018,Online Test , Written Test,09 Apr 18 - 05 Feb 18,22 Apr 18,22 May 18,
SET 2017 Symbiosis Entrance Test,Online Test,27 Apr 18 - 05 Feb 18,06 May 18,20 May 18,
DU JAT 2018 Delhi University Joint Admission Test,Written Test,10 Jun 18 - 02 May 18,24 Jun 18,09 Jul 18,https://exams.collegedunia.com/du-jat/application-process
Jain Entrance Test 2018 Jain Entrance Test,Test,20 Jan 18,,,
DSAT 2018 Dayanand Sagar Admission Test 2018,Written Test,30 Apr 18,15 May 18,,
VEE 2018 Vels Entrance Examination 2018,Written Test,03 May 18,,,
JNUEE 2018 Jawaharlal Nehru University Entrance Examination,Written Test,14 May 18,18 Jun 18,,
BHU UET 2018 Banaras Hindu University Undergraduate Entrance Test,Written Test,,,,
IIAD Entrance Exam 2018 Indian Institute of Art and Design Entrance Exam,Written Test,,,,
PUCAT 2018 Purvanchal University Combined Admission Test,Written Test,,,,
MGU CAT 2018 Mahatma Gandhi University - Common Admission Test,Written Test,16 Mar 17 - 06 May 17,28 May 17 - 29 May 17,08 Jun 17,
CAT 2017 Common Admission Test,Online Test,09 Aug 17 - 20 Sep 17,26 Nov 17,08 Jan 18,https://exams.collegedunia.com/cat/application-process
JUET 2018 Jammu University Entrance Test,Written Test,,,,
ANUPGCET 2018 ACHARYA NAGARJUNA UNIVERSITY POST GRADUATE COMMON ENTRANCE TEST,Online Test,,,,
CUSAT CAT 2018 Cochin University of Science and Technology Common Admission test,Online Test,,,,
IUET 2018 Integral University Entrance Test,Written Test,,,,
MAT 2017 Management Aptitude Test,Online Test , Written Test,20 Dec 17 - 26 Jan 18,04 Feb 18,22 Feb 18,https://exams.collegedunia.com/mat/application-process
OUCET 2018 Osmania University Common Entrance Test,Written Test,,,,
XAT 2018 Xavier Aptitude Test,Online Test,16 Aug 17 - 30 Nov 17,07 Jan 18,28 Jan 18,https://exams.collegedunia.com/xat/application-process
TISSNET 2018 Tata Institute of Social Sciences National Entrance Test,Online Test,24 Oct 17 - 18 Dec 17,06 Jan 18,27 Jan 18,https://exams.collegedunia.com/tissnet/admit-card


EDUCATION
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
YVUCET 2018 Yogi Vemana University Common Entrance Test,Written Test,01 Mar 18 - 19 May 18,04 Jun 18,11 Jun 18,
AKNUCET 2018 Adikavi Nannaya University Common Entrance Test,Written Test,12 Mar 18 - 12 Apr 18,07 May 18,,
CUCET 2018 Central Universities Common Entrance Test,Written Test,17 Mar 18 - 20 Apr 18,20 May 18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
HPU BEd 2018 Himachal Pradesh University BEd,Online Test,09 Apr 18 - 21 May 18,08 Jun 18,24 Jun 18,
AP DEECET 2018 Andhra Pradesh Diploma in Elementary Education Common Entrance Test 2018,Online Test,23 Apr 18 - 06 Apr 18,06 May 18,25 May 18,
KU PGCET 2018 KU Post Graduate Common Entrance Test 2018,Written Test,04 Jun 18,,,
DU BEd Entrance Exam 2017 DELHI UNIVERSITY B.Ed ENTRANCE EXAM,Written Test,,,,
MAH BEd CET 2017 Maharashtra BED Common Entrance Test,Test,,,,
UP Bed JEE 2018 Uttar Pradesh B.Ed Joint Entrance Examination,Online Test,,,,
AP EDCET 2018 Andhra Pradesh Education Common Entrance Test,Online Test,,,,
CSSET 2018 Combined Shiksha Shastri Entrance Test,Written Test,18 Apr 17 - 16 Jan 17,14 May 17,,
MGU CAT 2018 Mahatma Gandhi University - Common Admission Test,Written Test,16 Mar 17 - 06 May 17,28 May 17 - 29 May 17,08 Jun 17,
BHU UET 2018 Banaras Hindu University Undergraduate Entrance Test,Written Test,,,,
IGNOU BEd Entrance Test 2017 IGNOU Bachelor Of Education Entrance Test,Written Test,,,,
BEET 2018 Bachelor of Education Entrance Test 2018,Written Test,,,,
VMOU BEd Entrance Exam 2018 Vardhman Mahaveer Open University B.Ed Entrance Exam,Written Test,,,,
CG Pre BEd 2018 Chhattisgarh Pre-BEd,Written Test,,,,
OUCET 2018 Osmania University Common Entrance Test,Written Test,,,,
MP Pre BEd 2017 MP Pre B.Ed Entrance Exam,Written Test,,,,
TS EDCET 2017 Telangana State Education Common Entrance Test,Online Test , Written Test,16 Jul 17,28 Jul 17,,


COMMERCE
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
NPAT 2018 National Test for Programs After Twelfth,Online Test,05 Feb 18 - 02 May 18,13 May 18,10 Jun 18,
YVUCET 2018 Yogi Vemana University Common Entrance Test,Written Test,01 Mar 18 - 19 May 18,04 Jun 18,11 Jun 18,
AKNUCET 2018 Adikavi Nannaya University Common Entrance Test,Written Test,12 Mar 18 - 12 Apr 18,07 May 18,,
CMRUAT 2018 CMR University Admission Test 2018,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
DUCET 2018 Dravidian University Common Entrance Test 2018,Written Test,03 Apr 18 - 15 May 18,05 Jun 18,18 Jun 18,
SPSAT 2018 Sri Padampat Singhania Admission Test,Online Test,20 Apr 18 - 10 Jun 18,,,
Jain Entrance Test 2018 Jain Entrance Test,Test,20 Jan 18,,,
JUEE 2018 Jagannath University Entrance Exam,Online Test , Written Test,23 Apr 18 - 17 Jun 18,,,
DSAT 2018 Dayanand Sagar Admission Test 2018,Written Test,30 Apr 18,15 May 18,,
KU PGCET 2018 KU Post Graduate Common Entrance Test 2018,Written Test,04 Jun 18,,,
Allahabad University PGAT 2018 Allahabad University Post Graduate Admission Test,Online Test,,,,
XAT 2018 Xavier Aptitude Test,Online Test,16 Aug 17 - 30 Nov 17,07 Jan 18,28 Jan 18,https://exams.collegedunia.com/xat/application-process
BHU UET 2018 Banaras Hindu University Undergraduate Entrance Test,Written Test,,,,
CAT 2017 Common Admission Test,Online Test,09 Aug 17 - 20 Sep 17,26 Nov 17,08 Jan 18,https://exams.collegedunia.com/cat/application-process
JUET 2018 Jammu University Entrance Test,Written Test,,,,
OUCET 2018 Osmania University Common Entrance Test,Written Test,,,,
SUAT 2017 Sharda University Admission Test,Online Test,,,,
BHU PET 2018 Banaras Hindu University Postgraduate Entrance Test,Written Test,,,,
MAT 2017 Management Aptitude Test,Online Test , Written Test,20 Dec 17 - 26 Jan 18,04 Feb 18,22 Feb 18,https://exams.collegedunia.com/mat/application-process
CUSAT CAT 2018 Cochin University of Science and Technology Common Admission test,Online Test,,,,


AGRICULTURE
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
KEAM 2018 Kerala Engineering Agricultural Medical Entrance Examination,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26 May 18,
KCET 2018 Karnataka Common Entrance Test,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25 May 18,https://exams.collegedunia.com/kcet/application-process
AP EAMCET 2018 Andhra Pradesh Engineering, Agriculture and Medical Common Entrance Test,Online Test,05 Feb 18 - 10 Apr 18,28 Apr 18,24 May 18,https://exams.collegedunia.com/ap-eamcet/application-process
CUEE 2018 Centurion University Entrance Examination,Online Test,23 Feb 18 - 27 Mar 18,22 Apr 18,13 May 18,
CG PAT 2018 Chhattisgarh Pre-Agriculture Test,Written Test,12 Mar 18 - 12 Apr 18,27 May 18,07 Jul 18,
Tripura JEE 2018 Tripura Joint Entrance Examination,Written Test,27 Mar 18 - 02 Jan 18,03 May 18 - 04 May 18,04 Jun 18,
JCECE 2018 Jharkhand Combined Entrance Competitive Examination,Written Test,03 Apr 18 - 30 Apr 18,14 May 18,29 May 18,https://exams.collegedunia.com/jcece/application-process
CAT 2017 Common Admission Test,Online Test,09 Aug 17 - 20 Sep 17,26 Nov 17,08 Jan 18,https://exams.collegedunia.com/cat/application-process
XAT 2018 Xavier Aptitude Test,Online Test,16 Aug 17 - 30 Nov 17,07 Jan 18,28 Jan 18,https://exams.collegedunia.com/xat/application-process
MCAER PG CET 2018 Maharashtra Council of Agriculture Education and Research Common Entrance Test 2018,Written Test,04 Dec 17 - 28 Dec 17,25 Mar 18,09 Apr 18,
Karnataka PGCET 2017 Karnataka Post Graduate Common Entrance Test,Online Test,24 Jun 17 - 02 Feb 17,08 Jul 17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
OUAT 2018 Orissa University of Agriculture and Technology,Written Test,,,,
UPCATET 2018 Uttar Pradesh Combined Agriculture and Technology Entrance Test,Online Test,,,,
HORTICET 2017 Horticulture Common Entrance Test,Written Test,,,,
Rajasthan JET 2018 Rajasthan JET,Online Test,,,,
BHU UET 2018 Banaras Hindu University Undergraduate Entrance Test,Written Test,,,,


DESIGN
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
GLS Institute of Design DAT 2018 GLS Institute of Design Aptitude Test,Written Test,24 Dec 17 - 23 Jan 18,23 Apr 18,,
UBTER JEEP 2018 Uttarakhand Board Of Technical Education-Joint Entrance Exam, Polytechnic,Written Test,10 Jan 18 - 26 Mar 18,06 May 18,27 May 18,
IICD 2018 Indian Institute of Crafts and Design 2018,Written Test,22 Jan 18 - 21 May 18,27 May 18,04 Jun 18,
NPAT 2018 National Test for Programs After Twelfth,Online Test,05 Feb 18 - 02 May 18,13 May 18,10 Jun 18,
UPES DAT 2018 University of Petroleum and Energy Studies Design Aptitude Test,Online Test , Written Test,16 Feb 18 - 09 Jan 18,15 Feb 18 - 12 Apr 18,20 Mar 18,https://exams.collegedunia.com/upes-dat/admit-card
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
SET 2017 Symbiosis Entrance Test,Online Test,27 Apr 18 - 05 Feb 18,06 May 18,20 May 18,
NIFT 2018 National Institute of Fashion Technology Entrance Test,Online Test,20 Oct 17 - 09 Jan 18,21 Jan 18,01 Feb 18,
NID 2018 National Institute of Design Entrance Exam,Written Test,20 Oct 17 - 20 Dec 17,31 Aug 18 - 07 Jan 18,18 Jan 18 - 02 May 18,https://exams.collegedunia.com/nid/admit-card
AIEED 2018 All India Entrance Examination for Design,Online Test , Written Test,14 Dec 17 - 12 Nov 17,02 Jan 18,,https://exams.collegedunia.com/aieed/application-process
CEED 2017 Common Entrance Examination for Design,Online Test , Written Test,09 Oct 17 - 10 Nov 17,20 Jan 18,05 Mar 18,
KIITEE 2017 Kalinga Institute of Industrial Technology Entrance Exam,Online Test,,,,
UCEED 2018 Undergraduate Common Entrance Examination for Design,Online Test,,,,
CEPT Entrance Exam 2018 Center for Environmental Planning and Technology Entrance Exam,Online Test,,,,
SOFT CET 2018 School of Fashion Technology Common Entrance Test,Online Test , Written Test,,,,
SUAT 2017 Sharda University Admission Test,Online Test,,,,


DENTAL
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
KEAM 2018 Kerala Engineering Agricultural Medical Entrance Examination,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26 May 18,
NEET 2018 National Eligibility Cum Entrance Test(NEET)/AIPMT,Written Test,22 Jan 18 - 20 Mar 18,10 May 18,08 Jun 18,https://exams.collegedunia.com/neet/application-process
AP EAMCET 2018 Andhra Pradesh Engineering, Agriculture and Medical Common Entrance Test,Online Test,05 Feb 18 - 10 Apr 18,28 Apr 18,24 May 18,https://exams.collegedunia.com/ap-eamcet/application-process
PGIMER 2018 Post Graduate Institute of Medical Education & Research 2018,Written Test,17 Mar 18 - 13 May 18,14 May 18,16 May 18,
GCET 2018 Goa Common Entrance Test,Written Test,19 Apr 18 - 10 Mar 18,13 May 18,30 May 18,
JIPMER 2018 Jawaharlal Institute of Post-graduate Medical Education and Research,Online Test,03 Jun 18,,,
CETPPMC 2017 Common Entrance Test for Pondicherry Private Medical/Dental Colleges,Written Test,25 Apr 17 - 22 May 17,27 May 17,02 Jun 17,
AIPGDEE 2018 All India PG Dental Entrance Exam,Online Test,16 Sep 17 - 31 Oct 17,07 Jan 18,31 Jan 18,
NEET MDS 2018 National Eligibility Cum Entrance Test for Masters of Dental Surgery,Online Test,31 Oct 17 - 27 Nov 17,07 Jan 18,31 Jan 18,
AIPGMEE 2017 All India Post Graduate Medical Entrance Examination,Online Test,16 Sep 16 - 22 Oct 16,05 Dec 16 - 13 Dec 16,10 Feb 17,
AIPMT 2016 All India Pre Medical Test,Written Test,15 Dec 15 - 13 Jan 16,01 May 16,19 May 16 - 05 Jun 16,https://exams.collegedunia.com/aipmt/application-process
MPDMAT 2016 Madhya Pradesh Dental/Medical Association Test,Written Test,15 May 16,,,
GUJCET 2018 Gujarat Common Entrance Test,Written Test,29 May 17,29 May 18,,


VETERINARY-SCIENCES
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
AIPVT 2018 All India Pre VeterinaryTest,Written Test,08 Jan 18 - 07 Feb 18,14 May 18,20 Jun 18,
KCET 2018 Karnataka Common Entrance Test,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25 May 18,https://exams.collegedunia.com/kcet/application-process
AP EAMCET 2018 Andhra Pradesh Engineering, Agriculture and Medical Common Entrance Test,Online Test,05 Feb 18 - 10 Apr 18,28 Apr 18,24 May 18,https://exams.collegedunia.com/ap-eamcet/application-process
MHT CET 2018 Maharashtra Health Sciences and Technical Common Entrance Test,Written Test,06 Mar 18 - 30 Mar 18,13 May 18,08 Jun 18,https://exams.collegedunia.com/mht-cet/application-process
JCECE 2018 Jharkhand Combined Entrance Competitive Examination,Written Test,03 Apr 18 - 30 Apr 18,14 May 18,29 May 18,https://exams.collegedunia.com/jcece/application-process
WBJEE 2018 West Bengal Joint Entrance Examination,Online Test,19 Dec 17 - 10 Apr 18,22 Apr 18,05 Jun 18,https://exams.collegedunia.com/wbjee/admit-card
OUAT 2018 Orissa University of Agriculture and Technology,Written Test,,,,
AAU VET 2018 Assam Agricultural University Veterinary Entrance Test,Written Test,,,,
RPVT 2018 Rajasthan Pre-University Veterinary Test,Online Test,,,,
UP Veterinary Entrance Exam 2018 UP Veterinary Entrance Exam,Written Test,,,,


HOTEL-MANAGEMENT
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
NCHMCT JEE 2017 National Council for Hotel Management and Catering Technology Joint Entrance Examination,Written Test,19 Dec 16 - 12 Dec 16,29 Apr 17,18 May 17,
IIHM ECHAT 2018 Electronic Common Hospitality Aptitude Test,Online Test,,,,
MAH BHMCT CET 2018 Maharashtra Hotel Management Common Entrance Test,Online Test,,,,
UKSEE 2018 Uttarakhand State Entrance Exam,Online Test , Written Test,,,,
AIHMCT WAT 2018 Army Institute of Hotel Management & Catering Technology WAT,Written Test,,,,


MASS-COMMUNICATIONS
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
ACJ Entrance Exam 2018 Asian College of Journalism Entrance Exam,Online Test,15 Mar 18 - 15 Apr 18,20 May 18,,
XIC OET 2018 Xavier Institute of Communication Online Entrance Test,Online Test,26 Mar 18 - 24 Apr 18,21 Apr 18,17 Jun 18,
CAT 2017 Common Admission Test,Online Test,09 Aug 17 - 20 Sep 17,26 Nov 17,08 Jan 18,https://exams.collegedunia.com/cat/application-process
IIMC 2017 Indian Institute of Mass Communication,Written Test,,,,


PARAMEDICAL
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
GCET 2018 Goa Common Entrance Test,Written Test,19 Apr 18 - 10 Mar 18,13 May 18,30 May 18,
DSAT 2018 Dayanand Sagar Admission Test 2018,Written Test,30 Apr 18,15 May 18,,
IGNOU OPENNET 2017 IGNOU B.Sc. Nursing Entrance Test,Written Test,,,,
IUET 2018 Integral University Entrance Test,Written Test,,,,
AIIMS MSc 2018 AIIMS M.Sc. Entrance Examination,Online Test,,,,


VOCATIONAL-COURSES
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
CUCET 2018 Central Universities Common Entrance Test,Written Test,17 Mar 18 - 20 Apr 18,20 May 18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
MAT 2017 Management Aptitude Test,Online Test , Written Test,20 Dec 17 - 26 Jan 18,04 Feb 18,22 Feb 18,https://exams.collegedunia.com/mat/application-process
CAT 2017 Common Admission Test,Online Test,09 Aug 17 - 20 Sep 17,26 Nov 17,08 Jan 18,https://exams.collegedunia.com/cat/application-process
BHU UET 2018 Banaras Hindu University Undergraduate Entrance Test,Written Test,,,,


STUDY-ABROAD-EXAMS
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
TOEFL 2017 Test of English as a Foreign Language,Online Test , Written Test,20 Aug 17 - 15 Sep 17,14 Oct 17,,
LSAT 2017 Law School Admission Test,Written Test,14 Sep 16 - 08 May 17,21 May 17,20 Jun 17,https://exams.collegedunia.com/lsat/admit-card
GMAT 2017 Graduate Management Admission Test,Online Test,,,,
IELTS 2016 International English Language Testing System,Online Test,,,,
GRE 2016 Graduate Record Examination,Online Test,,,,


ENGINEERING
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
KEAM 2018 Kerala Engineering Agricultural Medical Entrance Examination,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26 May 18,
KCET 2018 Karnataka Common Entrance Test,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25 May 18,https://exams.collegedunia.com/kcet/application-process
JKCET 2018 Jammu And Kashmir Board Of Professional Entrance Examinations Common Entrance Test,Written Test,09 Jan 18 - 20 Feb 18,05 May 18,28 May 18,https://exams.collegedunia.com/jkcet/application-process
UBTER JEEP 2018 Uttarakhand Board Of Technical Education-Joint Entrance Exam, Polytechnic,Written Test,10 Jan 18 - 26 Mar 18,06 May 18,27 May 18,
UPESEAT 2018 University of Petroleum and Energy Studies Engineering Aptitude Test,Written Test,10 Jan 18 - 20 Mar 18,15 Apr 18,24 May 18,
NERIST Entrance Exam 2018 North Eastern Regional Institute of Science and Technology Entrance Examination,Online Test,14 Jan 18 - 02 Apr 18,15 Apr 18,12 May 18,
BITSAT 2018 Birla Institute of Technology and Science Admission Test,Online Test,14 Jan 18 - 03 Mar 18,20 May 18,12 Jun 18,
Amity JEE 2018 Amity Joint Entrance Examination 2018,Online Test,22 Jan 18 - 25 Mar 18,15 Apr 18,04 May 18,
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
BSAUEEE 2018 B.S. Abdur Rahman University Engineering Entrance Exam,Online Test,27 Jan 18 - 15 Apr 18,29 Apr 18 - 29 Apr 18,20 May 18,
TANCET 2018 Tamil Nadu Common Entrance Test,Written Test,28 Jan 18 - 15 Mar 18,25 Mar 18,07 Apr 18,https://exams.collegedunia.com/tancet/admit-card
AP EAMCET 2018 Andhra Pradesh Engineering, Agriculture and Medical Common Entrance Test,Online Test,05 Feb 18 - 10 Apr 18,28 Apr 18,24 May 18,https://exams.collegedunia.com/ap-eamcet/application-process
NPAT 2018 National Test for Programs After Twelfth,Online Test,05 Feb 18 - 02 May 18,13 May 18,10 Jun 18,
Uni Gauge E 2018 Under Graduate Engineering Entrance Exam,Online Test,08 Feb 18 - 04 Apr 18,14 May 18,20 May 18,
COMEDK UGET 2018 Consortium of Medical, Engineering & Dental Colleges of Karnataka, Under Graduate Entrance Test,Online Test,12 Feb 18 - 06 Apr 18,13 May 18,28 May 18,
BCECE 2018 Bihar Combined Entrance Competitive Examination,Written Test,14 Feb 18 - 09 Mar 18,23 Apr 18,,https://exams.collegedunia.com/bcece/application-process
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
CUEE 2018 Centurion University Entrance Examination,Online Test,23 Feb 18 - 27 Mar 18,22 Apr 18,13 May 18,
MZUEEE 2018 Mizoram University Engineering Entrance Examination 2018,Written Test,25 Feb 18 - 11 Jun 18,24 Jun 18,09 Jul 18,
Andhra University Engineering Entrance Test 2018 Andhra University Engineering Entrance Test,Online Test,04 Mar 18 - 16 Apr 18,13 May 18,20 May 18,
MHT CET 2018 Maharashtra Health Sciences and Technical Common Entrance Test,Written Test,06 Mar 18 - 30 Mar 18,13 May 18,08 Jun 18,https://exams.collegedunia.com/mht-cet/application-process
JEE Main 2018 Joint Entrance Exam (Main),Online Test , Written Test,07 Mar 18 - 01 Dec 17,08 Apr 18 - 08 Apr 18,,
TUEE 2018 Tezpur University Entrance Exam 2018,Written Test,12 Mar 18 - 05 May 18,22 Apr 18,11 Jun 18,
ASSAM PAT 2018 Assam Polytechnic Admission Test,Written Test,12 Mar 18 - 04 May 18,15 May 18,06 Jun 18,
AP POLYCET 2018 Andhra Pradesh Polytechnic Common Entrance Test,Written Test,12 Mar 18 - 13 Apr 18,25 Apr 18,,
TS EAMCET 2018 Telangana State Engineering, Agriculture & Medical Common Entrance Test,Written Test,15 Mar 18 - 20 Apr 18,12 May 18 - 13 May 18,28 May 18,
CUCET 2018 Central Universities Common Entrance Test,Written Test,17 Mar 18 - 20 Apr 18,20 May 18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
BVP CET 2018 Bharati Vidyapeeth Common Entrance Test,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09 Apr 18,https://exams.collegedunia.com/bvp-cet/application-process
CG PPT 2018 Chhattisgarh Pre-Polytechnic Test,Online Test,20 Mar 18 - 17 Apr 18,09 May 18,05 Jun 18,
TS PGECET 2017 Telangana State Post Graduate Engineering Common Entrance Test,Online Test,20 Mar 18 - 01 May 18,27 May 18,09 Jun 18,
CMRUAT 2018 CMR University Admission Test 2018,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
DAVUET 2018 DAV University Entrance Test,Written Test,23 Mar 18 - 15 Apr 18,22 Apr 18,12 May 18,
